 ,Mean1,Mean2,Mean3,Mean4
602,2815.354,3934.050,3982.119,3709.273
603,2813.667,3948.900,3993.190,3684.091
604,2817.125,3920.900,3982.190,3707.705
605,2820.250,3918.000,4011.048,3663.114
606,2798.438,3903.700,3995.048,3689.432
607,2821.083,3934.050,3997.286,3697.182
608,2820.479,3913.150,3990.905,3701.136
609,2804.354,3944.500,3993.667,3688.886
610,2810.917,3941.750,3976.333,3696.250
611,2810.167,3930.900,4016.048,3663.114
612,2810.292,3927.100,3985.428,3695.614
613,2808.250,3925.700,3995.976,3710.205
614,2792.500,3937.700,3983.310,3701.114
615,2803.188,3914.550,3959.405,3675.182
616,2804.812,3916.750,3985.000,3693.045
617,2798.375,3894.500,4006.214,3678.909
618,2804.104,3942.600,4009.905,3684.773
619,2810.229,3930.400,4002.262,3684.909
620,2802.417,3930.250,4009.500,3674.864
621,2813.667,3922.150,4016.905,3708.341
622,2791.292,3913.200,3993.976,3670.591
623,2796.146,3896.350,4011.976,3683.386
624,2817.167,3928.700,4004.572,3684.000
625,2787.854,3926.800,4008.690,3699.705
626,2806.312,3909.500,3997.595,3696.568
627,2795.000,3927.750,3984.357,3689.386
628,2806.438,3976.400,3979.190,3703.136
629,2806.979,3917.500,3982.452,3693.523
