 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
174,7269.333,7046.846,6193.727,6691.667,6048.324,4158.625,7652.000,7280.833,6063.461,4410.524,5104.000,9027.083
175,7271.833,7036.077,6189.500,6585.250,6024.471,4145.250,7640.333,7275.300,6088.192,4425.095,5100.818,9091.250
176,7307.556,7074.308,6161.977,6634.083,6016.441,4135.750,7609.667,7290.967,6053.385,4419.000,5113.273,9083.667
177,7326.000,7074.539,6147.614,6626.667,6076.618,4070.125,7657.500,7266.950,6108.769,4420.619,5080.727,9114.667
178,7329.111,7072.231,6059.659,6652.833,6085.029,4087.375,7761.833,7258.717,6088.558,4455.952,5071.818,9177.250
179,7346.944,7073.077,6108.477,6647.833,6060.647,4078.375,7701.500,7259.317,6105.711,4373.190,5073.000,9206.083
180,7352.167,7021.731,6139.636,6712.917,6086.441,4145.625,7764.167,7277.667,6084.461,4432.524,5038.364,9283.000
181,7363.639,7006.000,6058.500,6691.000,6091.676,4100.625,7650.000,7279.917,6088.077,4394.381,5118.364,9267.500
182,7391.528,7068.423,6089.205,6599.833,6064.235,4049.750,7772.000,7262.833,6068.365,4409.857,5075.727,9231.333
183,7379.278,7073.423,6081.432,6702.500,6105.559,4170.125,7847.667,7272.283,6088.096,4399.048,5060.545,9289.667
184,7384.194,7068.154,6092.000,6684.250,6053.147,4064.750,7773.333,7264.933,6094.789,4413.238,5079.818,9342.000
185,7399.611,7038.615,6177.727,6678.333,6073.176,4086.875,7732.500,7235.383,6109.942,4409.857,5109.273,9323.750
186,7360.833,7048.192,6102.568,6661.083,6120.324,4108.875,7784.500,7270.133,6064.096,4415.333,5033.273,9353.000
187,7430.194,7050.885,6122.864,6643.583,6047.500,4127.125,7844.667,7246.333,6076.173,4412.429,5063.091,9353.667
188,7416.639,7056.077,6073.886,6691.333,6080.794,4057.125,7811.500,7232.667,6050.308,4407.714,5028.364,9421.833
189,7439.361,7062.192,6089.250,6711.833,6122.912,4115.250,7961.167,7235.067,6076.731,4442.286,5040.909,9416.917
190,7433.639,7022.961,6114.455,6605.583,6104.000,4129.125,7758.000,7220.567,6086.904,4429.524,5032.182,9418.583
191,7464.278,7052.308,6112.091,6704.417,6055.176,4109.250,7850.500,7233.433,6072.596,4427.333,5075.455,9435.417
192,7426.167,7061.461,6132.750,6644.000,6083.206,4109.000,7819.333,7223.900,6084.461,4403.333,5126.727,9448.667
193,7418.500,7048.961,6086.614,6700.250,6099.618,4076.000,7761.667,7222.067,6095.731,4435.571,5100.545,9474.417
194,7424.528,7047.654,6095.273,6648.500,6074.676,4105.625,7865.333,7227.417,6096.827,4434.762,5077.091,9515.333
195,7468.778,7037.192,6127.023,6697.000,6073.824,4082.125,7862.833,7186.150,6105.039,4442.048,5079.091,9508.500
196,7486.667,7033.269,6038.455,6656.750,6068.353,4178.750,7839.833,7210.267,6113.673,4427.190,5072.818,9498.667
197,7488.972,7019.539,6105.886,6684.583,6045.206,4107.375,7923.500,7166.617,6071.789,4431.857,5056.455,9491.500
198,7468.528,7053.308,6079.136,6656.583,6079.853,4118.250,7905.833,7189.400,6061.596,4387.476,5045.182,9490.333
199,7471.167,7065.308,6046.932,6631.167,6103.059,4129.625,7764.167,7193.267,6101.731,4438.952,5064.545,9620.250
200,7462.778,7023.769,6086.591,6617.750,6085.441,4162.375,7939.500,7185.717,6050.404,4427.238,5112.000,9532.333
201,7475.222,7037.615,6111.727,6638.583,6066.206,4075.875,7776.167,7178.083,6054.596,4403.667,5079.909,9574.833
202,7527.639,7052.000,6041.818,6683.833,6068.382,4172.625,7797.500,7196.250,6096.019,4417.524,5080.000,9521.500
203,7526.361,7066.269,5991.091,6650.750,6051.471,4094.000,7839.167,7181.783,6058.904,4369.381,5038.364,9611.250
204,7501.667,7016.846,6034.727,6710.917,6092.912,4093.500,7889.333,7156.750,6091.461,4438.667,5071.364,9567.917
205,7522.389,7062.500,6043.409,6692.250,6072.794,4067.000,7867.333,7186.017,6092.269,4401.762,5047.273,9569.583
206,7525.722,7039.115,6058.909,6720.333,6097.500,4167.875,7852.000,7175.600,6071.096,4459.714,5031.182,9624.667
207,7508.639,7045.461,6096.273,6658.500,6086.000,4153.500,7824.833,7158.117,6099.942,4414.857,5031.909,9568.833
208,7526.028,7024.577,6044.500,6680.583,6071.912,4117.250,7834.667,7137.683,6079.346,4418.857,5058.818,9560.583
209,7493.833,6977.461,6042.045,6593.667,6073.676,4085.875,7842.667,7128.450,6073.461,4442.095,5136.273,9603.167
210,7481.556,7056.923,6083.205,6626.667,6062.059,4133.750,7783.333,7125.583,6039.827,4406.143,5053.818,9592.917
211,7520.250,7037.308,6007.568,6609.667,6041.676,4162.125,7819.333,7145.717,6001.192,4429.762,5040.000,9630.250
212,7526.056,7052.731,6081.909,6584.333,6060.000,4113.875,7811.333,7121.367,6040.789,4433.905,5034.091,9584.417
213,7518.611,6994.385,6061.909,6664.417,6031.235,4099.000,7894.333,7129.283,5998.481,4427.667,5052.545,9602.583
214,7541.972,7038.500,6063.000,6617.833,6025.029,4084.625,7696.333,7122.333,6022.154,4434.667,5060.545,9627.000
215,7506.778,7049.154,6087.727,6670.583,6038.647,4103.375,7726.333,7080.717,6006.269,4426.381,5039.545,9629.167
216,7537.028,7004.692,6085.568,6680.000,5997.529,4098.125,7747.667,7079.133,6020.885,4421.381,5052.455,9520.750
217,7542.806,6990.231,6017.023,6628.500,6004.559,4128.250,7733.167,7084.867,6010.865,4397.476,5068.727,9545.417
218,7520.861,7035.846,6022.227,6638.333,5989.588,4097.625,7699.000,7089.067,5970.077,4411.476,5023.818,9623.333
