 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
147,9589.192,5820.417,6289.594,5893.667,7383.615,9269.312,7873.265,6141.333,7287.541,6660.032,6537.654,5981.672,6386.833,6768.841,6157.265,5698.048
148,9588.596,5904.500,6330.500,5938.833,7420.923,9239.125,7892.382,6160.333,7273.595,6699.097,6601.308,5992.606,6424.929,6755.659,6137.147,5712.048
149,9656.000,5871.667,6344.312,5877.167,7414.923,9257.438,7875.059,6083.667,7340.892,6716.064,6584.192,5983.082,6380.619,6756.705,6153.265,5703.571
150,9724.000,5843.458,6335.219,5932.833,7448.385,9189.812,7939.500,6204.667,7375.703,6704.226,6628.077,5994.688,6380.333,6779.114,6203.706,5679.333
151,9755.673,5864.083,6393.594,5931.500,7451.346,9226.438,7873.588,6220.000,7377.108,6718.968,6647.769,5995.377,6344.095,6763.136,6197.794,5667.714
152,9794.365,5857.250,6381.406,5873.583,7454.154,9231.500,7940.118,6220.000,7391.162,6684.355,6661.846,6002.606,6331.881,6758.795,6179.471,5678.143
153,9846.538,5859.708,6364.375,5889.500,7461.385,9279.062,7868.294,6164.667,7470.541,6708.968,6690.346,6012.853,6365.548,6760.045,6203.176,5673.619
154,9879.885,5885.833,6408.750,5947.250,7459.231,9267.188,7880.706,6157.000,7470.216,6725.355,6674.692,6038.853,6350.786,6780.250,6200.882,5693.476
155,9879.480,5857.792,6386.125,5895.917,7504.308,9222.688,7881.971,6200.333,7489.865,6722.581,6721.731,6012.771,6318.738,6753.727,6219.794,5685.952
156,9939.385,5870.875,6435.750,5914.000,7501.500,9278.312,7876.853,6175.333,7473.865,6688.645,6740.231,6034.361,6309.524,6789.386,6205.382,5713.429
157,9953.077,5851.583,6480.125,5853.917,7483.346,9233.375,7865.088,6265.333,7480.405,6701.193,6767.154,6025.606,6294.857,6761.795,6233.118,5742.571
158,9965.135,5869.708,6467.406,5942.333,7535.846,9273.562,7877.882,6182.000,7461.595,6662.968,6705.192,6029.935,6339.143,6760.455,6244.529,5707.238
159,9996.654,5889.708,6459.625,5852.750,7573.154,9260.250,7870.235,6196.667,7477.081,6674.709,6744.000,6051.803,6322.714,6701.045,6225.765,5688.000
160,9983.346,5855.292,6475.250,5901.917,7504.231,9271.312,7874.353,6207.000,7528.729,6675.226,6761.077,6050.606,6300.548,6753.318,6221.294,5743.429
161,10026.480,5899.500,6529.125,5865.083,7530.115,9313.188,7891.559,6310.333,7533.703,6657.742,6773.039,6061.967,6282.667,6725.341,6265.529,5700.952
162,10036.904,5894.542,6514.562,5958.417,7521.346,9276.062,7867.941,6220.667,7516.027,6665.516,6765.346,6055.229,6287.452,6752.023,6272.029,5722.429
163,10007.673,5937.083,6507.312,5903.333,7583.115,9305.938,7889.235,6240.333,7535.459,6676.097,6756.039,6065.574,6280.262,6747.000,6232.676,5704.571
